gene_id,K002000061_49347,K002000061_49348,K002000061_49350,K002000061_49346,K002000061_49349,K002000061_49351,K002000061_49359,K002000061_49360,K002000061_49364,K002000061_49361,K002000061_49362,K002000061_49363
XLOC_017763,0,17,18,7,9,11,17,8,3,11,13,7
XLOC_017762,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_017761,0,0,0,0,0,0,0,0,0,0,0,4
XLOC_017760,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_017767,2094,2455,2270,2215,2900,2629,1759,1897,2297,1887,1666,2001
XLOC_017766,12,0,0,0,5,8,0,0,0,0,0,8
XLOC_017765,1096,1280,1473,1213,1346,1258,830,1290,1478,940,1252,1111
XLOC_017764,6793,7854,7147,6677,7766,7453,8084,5979,7277,7590,6214,7554
XLOC_017769,5,0,0,5,6,3,0,3,0,0,4,11
XLOC_017768,7,6,0,0,0,0,0,0,3,0,9,2
XLOC_013473,3886,3899,3759,3592,3951,3889,3945,4570,4576,4212,4243,5255
XLOC_013472,2617,2742,2729,2768,3464,3389,1958,2061,2321,2081,2013,2669
XLOC_013471,0,17,36,11,2,6,9,11,29,0,12,5
XLOC_013470,0,0,4,0,0,0,5,7,0,2,2,2
XLOC_013477,0,0,0,0,0,0,0,0,0,0,0,5
XLOC_013476,544,635,587,514,550,600,373,457,577,425,406,573
XLOC_013475,0,0,5,7,9,5,0,5,5,9,7,13
XLOC_013474,500,564,602,455,453,468,322,412,579,379,405,605
XLOC_013479,6,19,22,11,12,8,9,5,26,7,15,12
XLOC_013478,264,205,280,206,213,210,151,189,232,197,243,241
XLOC_026998,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_026999,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_026994,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_026995,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_026996,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_026997,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_026990,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_026991,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_026992,0,0,0,0,0,0,1,0,0,0,0,0
XLOC_026993,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_026338,31,63,50,36,61,61,72,63,26,35,42,70
XLOC_026339,58,39,47,40,64,68,28,49,49,51,57,59
XLOC_026330,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_026331,88,134,88,88,126,81,107,69,108,73,52,134
XLOC_026332,13487,21477,22727,20184,24888,23687,7187,6483,10677,8135,4624,9347
XLOC_026333,39,43,35,41,30,25,30,55,39,19,16,35
XLOC_026334,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_026335,1536,2264,1842,1907,1981,2150,2327,1476,2087,2384,1426,1776
XLOC_026336,0,0,0,0,0,0,2,0,0,1,0,0
XLOC_026337,5516,5619,5736,3874,4685,4333,2808,3747,4996,2621,2571,3255
XLOC_025973,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_025972,995,856,1078,888,1125,1060,930,1041,952,1096,1231,1135
XLOC_025971,62,40,32,39,57,35,22,42,30,19,55,21
XLOC_025970,0,0,0,0,4,0,0,0,0,0,0,0
XLOC_025977,0,0,0,4,0,1,3,0,9,0,1,0
XLOC_025976,16,17,26,11,15,12,18,14,18,10,9,18
XLOC_025975,0,0,0,0,0,0,0,0,0,0,2,0
XLOC_025974,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_025979,0,0,0,0,0,0,0,0,0,0,0,2
XLOC_025978,6,2,3,4,0,2,3,0,3,3,2,11
