gene_id,K002000061_49347,K002000061_49348,K002000061_49350,K002000061_49346,K002000061_49349,K002000061_49351
XLOC_017763,0,17,18,7,9,11
XLOC_017762,0,0,0,0,0,0
XLOC_017761,0,0,0,0,0,0
XLOC_017760,0,0,0,0,0,0
XLOC_017767,2094,2455,2270,2215,2900,2629
XLOC_017766,12,0,0,0,5,8
XLOC_017765,1096,1280,1473,1213,1346,1258
XLOC_017764,6793,7854,7147,6677,7766,7453
XLOC_017769,5,0,0,5,6,3
XLOC_017768,7,6,0,0,0,0
XLOC_013473,3886,3899,3759,3592,3951,3889
XLOC_013472,2617,2742,2729,2768,3464,3389
XLOC_013471,0,17,36,11,2,6
XLOC_013470,0,0,4,0,0,0
XLOC_013477,0,0,0,0,0,0
XLOC_013476,544,635,587,514,550,600
XLOC_013475,0,0,5,7,9,5
XLOC_013474,500,564,602,455,453,468
XLOC_013479,6,19,22,11,12,8
XLOC_013478,264,205,280,206,213,210
XLOC_026998,0,0,0,0,0,0
XLOC_026999,0,0,0,0,0,0
XLOC_026994,0,0,0,0,0,0
XLOC_026995,0,0,0,0,0,0
XLOC_026996,0,0,0,0,0,0
XLOC_026997,0,0,0,0,0,0
XLOC_026990,0,0,0,0,0,0
XLOC_026991,0,0,0,0,0,0
XLOC_026992,0,0,0,0,0,0
XLOC_026993,0,0,0,0,0,0
XLOC_026338,31,63,50,36,61,61
XLOC_026339,58,39,47,40,64,68
XLOC_026330,0,0,0,0,0,0
XLOC_026331,88,134,88,88,126,81
XLOC_026332,13487,21477,22727,20184,24888,23687
XLOC_026333,39,43,35,41,30,25
XLOC_026334,0,0,0,0,0,0
XLOC_026335,1536,2264,1842,1907,1981,2150
XLOC_026336,0,0,0,0,0,0
XLOC_026337,5516,5619,5736,3874,4685,4333
XLOC_025973,0,0,0,0,0,0
XLOC_025972,995,856,1078,888,1125,1060
XLOC_025971,62,40,32,39,57,35
XLOC_025970,0,0,0,0,4,0
XLOC_025977,0,0,0,4,0,1
XLOC_025976,16,17,26,11,15,12
XLOC_025975,0,0,0,0,0,0
XLOC_025974,0,0,0,0,0,0
XLOC_025979,0,0,0,0,0,0
XLOC_025978,6,2,3,4,0,2
XLOC_014908,0,0,0,0,0,0
XLOC_014909,8,14,9,14,15,16
XLOC_014906,1621,1686,1363,1719,1852,1520
XLOC_014907,0,0,0,0,0,0
XLOC_014904,0,2,0,0,5,0
XLOC_014905,0,0,0,0,0,0
XLOC_014902,14048,13367,13532,12220,15504,13658
XLOC_014903,37,19,10,8,14,21
XLOC_014900,8,2,2,3,3,4
XLOC_014901,22,21,30,43,27,35
XLOC_020648,1236,2098,1779,1423,2319,2074
XLOC_020649,2,5,4,9,14,3
XLOC_015059,0,0,0,0,0,0
XLOC_015058,8073,9555,8513,8628,10553,10161
XLOC_015053,0,0,0,0,1,0
XLOC_015052,0,0,2,0,4,0
XLOC_015051,4533,4196,4473,3988,4746,4358
XLOC_015050,229,200,277,159,232,155
XLOC_015057,4,0,10,0,0,4
XLOC_015056,4,14,11,0,9,0
XLOC_015055,0,0,0,0,0,0
XLOC_015054,79,102,104,87,105,95
XLOC_020642,4632,4108,4622,4729,5927,4879
XLOC_020643,1370,1216,1322,1146,1420,1373
XLOC_005029,24,55,41,29,35,54
XLOC_005028,28,71,72,37,41,33
XLOC_005027,76,144,145,111,123,90
XLOC_005026,161,69,124,113,193,139
XLOC_005025,36,12,30,20,20,29
XLOC_005024,1118,974,1135,971,1148,1013
XLOC_005023,0,0,0,9,0,0
XLOC_005022,2196,3256,2349,2223,2365,2758
XLOC_005021,5655,9462,6774,6453,5740,7746
XLOC_005020,921,1077,1099,888,1013,1055
XLOC_023469,53,54,53,58,59,53
XLOC_023468,0,0,0,0,0,0
XLOC_023463,2,0,0,0,0,2
XLOC_023462,8,10,13,12,16,9
XLOC_023461,20853,17793,18580,18398,22990,18986
XLOC_023460,0,0,0,0,0,0
XLOC_023467,3,0,3,5,0,0
XLOC_023466,17,22,31,21,24,34
XLOC_023465,31,3,25,17,26,25
XLOC_023464,44,34,38,29,47,33
XLOC_010108,2278,2347,2246,1907,2338,2286
XLOC_010109,8,4,14,12,6,4
XLOC_024208,525,539,577,571,640,565
XLOC_024209,48,45,45,43,35,41
XLOC_010102,2490,4839,3316,3074,2467,3296
XLOC_010103,0,0,2,0,2,0
XLOC_010100,209,212,241,236,307,231
XLOC_010101,4445,6183,4777,4721,5103,5880
XLOC_010106,1955,3363,2420,2367,2188,3047
XLOC_024203,0,0,0,0,0,0
XLOC_024200,0,0,0,0,0,0
XLOC_024201,1214,2428,1454,1483,1199,2094
XLOC_004855,366,509,345,434,452,472
XLOC_004854,2223,2184,2165,2004,2434,2346
XLOC_004857,2389,2604,2473,2285,928,2498
XLOC_004856,2288,2186,2016,1997,2245,2244
XLOC_004851,0,0,2,0,2,5
XLOC_004850,3343,4624,4012,4034,5069,4308
XLOC_004853,0,0,0,0,0,0
XLOC_004852,0,5,3,6,6,1
XLOC_025155,25,13,8,11,11,17
XLOC_025154,0,0,0,0,0,0
XLOC_025157,1140,1060,1099,1223,1253,1288
XLOC_025156,48,70,57,102,71,85
XLOC_025151,1800,1643,1693,1680,2115,1885
XLOC_025150,12547,14064,12569,11890,13494,13759
XLOC_025153,0,0,0,0,0,0
XLOC_025152,0,0,2,0,0,0
XLOC_010818,0,0,0,0,0,0
XLOC_010819,0,0,1,0,0,0
XLOC_010810,11,0,4,6,15,9
XLOC_010811,48,77,65,53,99,78
XLOC_010812,35,32,26,28,36,33
XLOC_010813,6638,6172,6377,5606,7451,6410
XLOC_010814,168,161,195,162,207,206
XLOC_010815,185,151,220,185,206,136
XLOC_010816,114,194,127,93,143,130
XLOC_010817,0,0,0,0,2,3
XLOC_007317,417,400,300,394,743,802
XLOC_007316,298,255,217,288,521,596
XLOC_007315,8,11,8,15,10,3
