Genes	Podocytes	Glomes	Kidney
XLOC_000001	0	0.003702	0
XLOC_000002	0	0	0
XLOC_000003	0	0	0
XLOC_000004	0	0	0
XLOC_000005	0.003633	1.09514	0.208582
XLOC_000006	33.0335	70.4652	150.969
XLOC_000007	0	0	0
XLOC_000008	23.0854	21.8546	34.2338
XLOC_000009	0.00557	0.00167233	0.004088
XLOC_000010	0	0.0125338	0
XLOC_000011	10.2044	6.48639	4.2713
XLOC_000012	24.8073	13.3928	9.93631
XLOC_000013	43.4557	17.4939	15.1186
XLOC_000014	42.7133	13.94	14.5345
XLOC_000015	0	0	0
XLOC_000016	79.7708	33.8243	29.2004
XLOC_000017	7.11928	6.85607	3.60158
XLOC_000018	0	0	0
XLOC_000019	0	0.182348	0
XLOC_000020	0	0.00249667	0
XLOC_000021	0.143144	0.93372	1.52376
XLOC_000022	15.5043	9.37223	6.28464
XLOC_000023	0	0.0673015	0.201773
XLOC_000024	0	0	0
XLOC_000025	0.041147	0.142225	0.335964
XLOC_000026	2.14067	77.8305	10.7245
XLOC_000027	0	0.0041185	0
XLOC_000028	0	0.00835733	0.00890825
XLOC_000029	0	0	0
XLOC_000030	0	0.0152933	0
XLOC_000031	0	0	0
XLOC_000032	81.6361	16.83	1.16458
XLOC_000033	0	0	0
XLOC_000034	0.092648	0.0184377	0
XLOC_000035	0	0.21941	0.155904
XLOC_000036	0	0.180682	0.843885
XLOC_000037	0	0.196452	0.0602517
XLOC_000038	0.014619	0.00584383	0
XLOC_000039	0	0	0
XLOC_000040	0.144493	0.735426	0.56769
XLOC_000041	1.58737	4.97358	2.75235
XLOC_000042	0	0.0550708	0.0675065
XLOC_000043	0.000788	0.104627	0.0960805
XLOC_000044	4.82094	8.79627	4.67113
XLOC_000045	0.276725	0.903923	0.622326
XLOC_000046	6.40023	6.55351	13.921
XLOC_000047	0	0	0
XLOC_000048	0	0	0
XLOC_000049	0.035616	0.0146613	0.0199505
XLOC_000050	0	0.009733	0
XLOC_000051	20.9708	24.6949	36.1558
XLOC_000052	0.4905	0.495351	0.0600697
XLOC_000053	0.166279	0.389706	0
XLOC_000054	0	0	0
XLOC_000055	0	0	0
XLOC_000056	0	0	0
XLOC_000057	0	0	0
XLOC_000058	0.301815	0.0138978	0.310987
XLOC_000059	2.57449	3.6776	0.990652
XLOC_000060	0	0	0
XLOC_000061	0	0	0
XLOC_000062	0	0.00279133	0.0287685
XLOC_000063	0	0	0
XLOC_000064	0	0.00154217	0
XLOC_000065	0	0	0
XLOC_000066	0.396529	0.395585	0
XLOC_000067	0	0	0
XLOC_000068	5.50885	2.87829	4.02153
XLOC_000069	0.030516	0.118204	0.153172
XLOC_000070	0	0.00350583	0
XLOC_000071	24.9729	8.51242	13.2911
XLOC_000072	5.9835	1.56761	3.99588
XLOC_000073	3.40375	4.81155	5.41602
XLOC_000074	5.0806	12.9148	2.21882
XLOC_000075	1.40901	9.53598	0.789741
XLOC_000076	0	0	0
XLOC_000077	0	0.0202398	0
XLOC_000078	0	0.009429	0.469478
XLOC_000079	0.007642	0.0326962	0.0419485
XLOC_000080	0	0	0
XLOC_000081	0	0	0
XLOC_000082	2.6042	13.9132	47.1702
XLOC_000083	31.6837	21.7057	22.4164
XLOC_000084	0	0	0.021251
XLOC_000085	0.010688	0.333993	1.41619
XLOC_000086	0	0	0
XLOC_000087	1.70351	5.27605	15.2061
XLOC_000088	2.60549	0.619456	1.02531
XLOC_000089	0	0	0
XLOC_000090	0	0	0
XLOC_000091	0	0	0
XLOC_000092	0	0.00449767	0.0876238
XLOC_000093	0.051972	0.0843668	0.0312955
XLOC_000094	0	0.00526633	0.0267562
XLOC_000095	0	0.0010535	0.0229255
XLOC_000096	0	0	0
XLOC_000097	0.159769	0.0240668	0.198312
XLOC_000098	0.115298	0.32692	0.521555
XLOC_000099	1.1351	1.4312	0.798032
XLOC_000100	0	0	0
XLOC_000101	0	0.0140352	0.0527418
XLOC_000102	1.35916	1.86525	0.301511
XLOC_000103	177.868	183.711	161.919
XLOC_000104	0	0.00645433	0.009386
XLOC_000105	8.08523	9.24786	8.16977
XLOC_000106	0	0.0467898	0
XLOC_000107	0.003314	0.015538	0.0226077
XLOC_000108	73.9188	69.3385	149.246
XLOC_000109	0	0	0
XLOC_000110	0	0	0
XLOC_000111	0	0	0
XLOC_000112	10.9843	19.2195	44.6435
XLOC_000113	0	0.00560433	0
XLOC_000114	7.63699	5.94004	1.01913
XLOC_000115	0.026889	0.056253	0.020718
XLOC_000116	0.243835	0.711609	0.466203
XLOC_000117	3.59124	4.1615	5.37756
XLOC_000118	0.286268	2.12759	0.295269
XLOC_000119	97.4988	152.188	306.26
XLOC_000120	0	0	0
XLOC_000121	0	0	0
XLOC_000122	10.4561	12.1383	3.50563
XLOC_000123	0.207205	0.500402	0.229986
XLOC_000124	0.162388	0.254753	0.148941
XLOC_000125	0.063502	0.304178	0.0638047
XLOC_000126	0	0	0
XLOC_000127	0	0.003224	0
XLOC_000128	0.013743	0.0166908	0.0438007
XLOC_000129	52.7872	41.9818	67.2968
XLOC_000130	0	0	0
XLOC_000131	5.95596	6.40259	8.54779
XLOC_000132	0	0.00423017	0
XLOC_000133	0	0	0
XLOC_000134	0.039783	0.0225827	0
XLOC_000135	0.162176	0.0390655	0
XLOC_000136	0	0	0
XLOC_000137	0	0	0
XLOC_000138	2.48186	2.74103	1.46523
XLOC_000139	0	0	0
XLOC_000140	108.65	72.1542	97.8288
XLOC_000141	0.026315	0	0
XLOC_000142	3.63776	15.2721	3.33352
XLOC_000143	0	0.0373483	0.0258547
XLOC_000144	0.058697	0.543071	0.2308
XLOC_000145	0.061633	1.3529	0.852817
XLOC_000146	0	0.0293107	0.927076
XLOC_000147	0	0.0469697	0.431918
XLOC_000148	0	0.0194148	0.0637812
XLOC_000149	0	0	0
XLOC_000150	0	0	0
XLOC_000151	0	0	0
XLOC_000152	0	0	0
XLOC_000153	0	0	0
XLOC_000154	0	0.175665	0.944115
XLOC_000155	0	0.0267308	0.136324
XLOC_000156	19.5023	25.8975	31.936
XLOC_000157	0	0.246275	0.0113375
XLOC_000158	0	0	0
XLOC_000159	0.528514	0.453436	0.38492
XLOC_000160	30.1475	19.2326	4.34804
XLOC_000161	1.75745	2.73721	0.548832
XLOC_000162	2.00147	1.89019	0.306694
XLOC_000163	0	0	0
XLOC_000164	1.4839	2.14724	0.547374
XLOC_000165	18.2862	17.2621	16.8074
XLOC_000166	3.52193	4.23557	6.1303
XLOC_000167	11.771	9.49642	7.08745
XLOC_000168	0	0	0
XLOC_000169	35.6227	16.8002	4.9679
XLOC_000170	1.22379	3.83427	0.969559
XLOC_000171	0.371989	0.845446	0.372555
XLOC_000172	0	0.030691	1.02316
XLOC_000173	33.7119	19.4474	19.0647
XLOC_000174	1.30978	0.995002	0.905628
XLOC_000175	0.053134	0.321303	2.1197
XLOC_000176	0	0	0.463389
XLOC_000177	0	0	0.0507273
XLOC_000178	0	0	0
XLOC_000179	0	0	0
XLOC_000180	1.48682	1.70315	1.75449
XLOC_000181	0	0	0
XLOC_000182	0	0.00214683	0
XLOC_000183	0	0.0104667	0
XLOC_000184	0.016795	0.0124825	0
XLOC_000185	0	0	0
XLOC_000186	0.009367	0.726515	0.0258637
XLOC_000187	0	0.170433	0
XLOC_000188	27.3922	19.519	15.0652
XLOC_000189	0.199296	0.885673	0.663861
XLOC_000190	0.220886	0.973261	0.730319
XLOC_000191	0.790685	0.0261025	0.0818298
XLOC_000192	1.45552	0.182692	0.101926
XLOC_000193	0.375229	0.122531	0.142461
XLOC_000194	0.143596	0.11829	0
XLOC_000195	1.66329	2.7773	0.876002
XLOC_000196	0	7.20114	11.8337
XLOC_000197	8.18814	11.7249	21.2228
XLOC_000198	10.8919	11.7781	27.6756
XLOC_000199	0	0	0
XLOC_000200	19.6093	8.84092	12.6387
XLOC_000201	6.97182	5.07402	8.87716
XLOC_000202	0	0.00558433	0
XLOC_000203	0.159017	0.231909	0.405466
XLOC_000204	0	0.0149283	0
XLOC_000205	1.72829	6.11074	3.99896
XLOC_000206	0.063951	0.441457	0.413478
XLOC_000207	13.2998	22.7825	37.8361
XLOC_000208	31.8109	17.9592	17.7089
XLOC_000209	0.076376	0.179826	0
XLOC_000210	6.62406	4.45052	1.35203
XLOC_000211	1.26688	21.7194	3.41393
XLOC_000212	2.60674	25.0521	3.47704
XLOC_000213	13.7712	23.6947	5.96671
XLOC_000214	0	0	0
XLOC_000215	0	0	0
XLOC_000216	0	0.00198167	0
XLOC_000217	0	0.157131	1.17636
XLOC_000218	0	0	0.038785
XLOC_000219	0	0.00730983	0
XLOC_000220	0.990573	1.70165	1.64518
XLOC_000221	1.63638	0	0
XLOC_000222	16.8175	6.77724	4.6556
XLOC_000223	0.079198	0.301076	0.228377
XLOC_000224	0	0	0
XLOC_000225	0.186457	0.61315	1.23567
XLOC_000226	66.3004	56.9365	104.961
XLOC_000227	3.51149	2.39297	1.50825
XLOC_000228	20.2756	24.9367	28.8512
XLOC_000229	0.280045	2.14503	1.58703
XLOC_000230	0.099192	0.134405	0.390572
XLOC_000231	0	0	0
XLOC_000232	0.56767	0.615047	0.83693
XLOC_000233	0	0	0
XLOC_000234	0	0	0
XLOC_000235	0	0.0284522	0
XLOC_000236	0	0	0
XLOC_000237	6.47407	3.85032	5.97046
XLOC_000238	0	0.36992	0.0253118
XLOC_000239	0.070494	0.28079	0
XLOC_000240	7.08227	3.4988	3.30454
XLOC_000241	33.9579	52.5309	14.8979
XLOC_000242	0.499639	3.36094	0.861267
XLOC_000243	7.85845	38.1612	12.8238
XLOC_000244	3.42906	4.41988	5.14759
XLOC_000245	45.785	34.7486	18.3566
XLOC_000246	0.233372	1.43175	0.54997
XLOC_000247	11.2399	12.3957	6.5523
XLOC_000248	0	0	0.0388345
XLOC_000249	0	0	0
XLOC_000250	0	0.0051175	0
XLOC_000251	0	0	0
XLOC_000252	0	0	0
XLOC_000253	0	0.0182055	0.0420735
XLOC_000254	0.01421	0	0
XLOC_000255	2.32338	0.173435	0
XLOC_000256	0	0	0.0263425
XLOC_000257	0	0	0
XLOC_000258	0	0	0
XLOC_000259	169.858	61.716	7.28684
XLOC_000260	11.8028	6.50546	1.04449
XLOC_000261	5.65122	5.00295	0.630842
XLOC_000262	4.04038	3.65536	0.642976
XLOC_000263	11.9935	12.5103	1.8174
XLOC_000264	4.10699	2.47732	0.380354
XLOC_000265	0.080727	2.14292	0.914823
XLOC_000266	3.96875	6.54352	5.95868
XLOC_000267	2.41573	6.70814	5.13793
XLOC_000268	50.7702	44.0181	63.3739
XLOC_000269	0	0	0
XLOC_000270	0.014197	0.098253	0.0707618
XLOC_000271	9.57114	6.16273	11.4178
XLOC_000272	0.775268	0.521911	0
XLOC_000273	0.020084	0	0
XLOC_000274	0	0.0284638	0
XLOC_000275	12.3465	20.5305	10.532
XLOC_000276	0	0.362403	0.334565
XLOC_000277	0.073285	0	0.0435002
XLOC_000278	0	0	0
XLOC_000279	2.67992	3.83975	2.0324
XLOC_000280	0	0.220819	0
XLOC_000281	0.038242	0.0204222	0.0497882
XLOC_000282	0	0.24526	0.0326715
XLOC_000283	0	0.191771	0.100096
XLOC_000284	0	0.121204	0.497242
XLOC_000285	20.0369	17.4531	18.6269
XLOC_000286	0	0	0.139469
XLOC_000287	0.072811	0.311632	2.73956
XLOC_000288	0.322839	0.510949	0.21525
XLOC_000289	0.097562	0.0980362	0.0570305
XLOC_000290	0	0	0
XLOC_000291	0	0.0124242	0
XLOC_000292	0	0	0
XLOC_000293	0	0	0
XLOC_000294	0	0.002209	0.00956225
XLOC_000295	0	0.00279967	0
XLOC_000296	0	0	0
XLOC_000297	0	0	0
XLOC_000298	0	0.0194198	0
XLOC_000299	0	0	0
XLOC_000300	3.0439	0.0921733	0.152791
XLOC_000301	1.08487	1.17759	0.191593
XLOC_000302	8.42098	8.45959	6.10469
XLOC_000303	0	0	0
XLOC_000304	241.692	193.1	212.85
XLOC_000305	0.046376	1.13206	0.762597
XLOC_000306	0	0.43208	0.0283193
XLOC_000307	0	0	0
XLOC_000308	0	0	0
XLOC_000309	0	0	0
XLOC_000310	0	0	0
XLOC_000311	0	0.0200545	0
XLOC_000312	6.2058	9.3947	8.62708
XLOC_000313	1.43525	3.28541	1.17043
XLOC_000314	0.623455	1.34178	0.576708
XLOC_000315	0.034597	0.553619	1.03712
XLOC_000316	0	0.863359	0.989442
XLOC_000317	20.5482	38.4105	41.209
XLOC_000318	7.89675	10.3539	13.3713
XLOC_000319	0	0.398079	0.305441
XLOC_000320	0.297901	1.1355	1.09283
XLOC_000321	3.97734	10.7209	12.7544
XLOC_000322	53.8463	22.3867	24.4337
XLOC_000323	0	0	0
XLOC_000324	0	0	0
XLOC_000325	0	0.031469	0.0811105
XLOC_000326	0.245254	0.0275423	0.549047
XLOC_000327	12.1202	18.873	14.0289
XLOC_000328	11.4894	14.438	12.2783
XLOC_000329	31.1074	46.7204	52.9203
XLOC_000330	22.1573	17.9187	13.0055
XLOC_000331	0	0	0
XLOC_000332	0	0	0
XLOC_000333	3.02459	71.7253	5.95561
XLOC_000334	39.9084	26.5832	3.61925
XLOC_000335	11.994	19.187	17.353
XLOC_000336	0.319356	0.440968	0.217699
XLOC_000337	0.514284	2.23642	1.38815
XLOC_000338	0	0	0
XLOC_000339	0	0	0
XLOC_000340	0	0.0197313	0.0541333
XLOC_000341	0	0.231905	0.429885
XLOC_000342	0	22.767	42.9758
XLOC_000343	0	0.021937	0
XLOC_000344	0	0	0.0799185
XLOC_000345	0	0.0438603	0.203712
XLOC_000346	0	2.92672	0
XLOC_000347	0	0	0
XLOC_000348	0	0.0106967	0
XLOC_000349	0.096976	0.0459627	0
XLOC_000350	0	0	0
XLOC_000351	0	0	0
XLOC_000352	0.013362	0.018422	0.00892875
XLOC_000353	0.308722	0.646134	0.458299
XLOC_000354	0.560545	0.116926	0.0786093
XLOC_000355	733.451	197.59	91.8838
XLOC_000356	38.2116	38.5949	40.9471
XLOC_000357	1.74883	3.72678	3.44453
XLOC_000358	0	0	0
XLOC_000359	10.5828	17.1094	13.961
XLOC_000360	1.80984	9.42405	27.7508
XLOC_000361	0	0.00745733	0.0102252
XLOC_000362	0.044518	1.173	0.554273
XLOC_000363	0	0.013399	0
XLOC_000364	0.008518	0.00922067	0.012358
XLOC_000365	0	0.0426137	0
XLOC_000366	6.14761	3.13641	1.6989
XLOC_000367	0.321864	10.0878	4.58867
XLOC_000368	0	0	0
XLOC_000369	104.858	55.7305	50.4367
XLOC_000370	0	0	0
XLOC_000371	0	0	0
XLOC_000372	30.4942	18.687	21.9821
XLOC_000373	32.893	26.3926	32.6133
XLOC_000374	0.565558	1.56416	1.35305
XLOC_000375	4.68474	5.55262	5.69983
XLOC_000376	0.514659	0.748469	0.493861
XLOC_000377	544.998	701.421	472.235
XLOC_000378	0	0.0230363	0.084837
XLOC_000379	4.04237	7.50507	4.85458
XLOC_000380	0.053949	0.378247	0.408295
XLOC_000381	4.16282	5.45408	4.83157
XLOC_000382	0.596765	2.09835	1.57243
XLOC_000383	0.146133	0.946435	0.701039
XLOC_000384	0.306656	0.923999	0.621049
XLOC_000385	0.111707	0.835461	0.655329
XLOC_000386	0.139096	0.39167	0.206908
XLOC_000387	0.401966	1.22503	1.18615
XLOC_000388	0.162522	0.748819	0.624113
XLOC_000389	0.057287	0.144961	0.131479
XLOC_000390	0.362918	1.87247	1.47656
XLOC_000391	0	0.00345933	0.013256
XLOC_000392	0	0	0
XLOC_000393	13.4014	13.1137	12.1705
XLOC_000394	0	1.31003	2.49341
XLOC_000395	14.093	19.735	25.6654
XLOC_000396	0	0	0
XLOC_000397	0.097785	4.21314	1.19672
XLOC_000398	0.322543	8.82547	2.30349
XLOC_000399	17.8355	22.3106	16.111
XLOC_000400	280.357	275.025	262.597
XLOC_000401	168.453	98.4331	110.126
XLOC_000402	0	0.178519	0.267472
XLOC_000403	5.84498	24.2877	24.5258
XLOC_000404	0.146837	1.28205	1.13074
XLOC_000405	0.161097	2.01142	1.85678
XLOC_000406	0	0.0736393	0
XLOC_000407	0	0	0.34334
XLOC_000408	0	0	0
XLOC_000409	0	0	0.263901
XLOC_000410	0	0.00277817	0
XLOC_000411	0.048481	0	0
XLOC_000412	0	0	0
XLOC_000413	0.465054	0.00205467	0
XLOC_000414	0	0	0
XLOC_000415	0	0	0.042279
XLOC_000416	58.6779	23.2422	9.41448
XLOC_000417	0.217024	0.112106	0.690501
XLOC_000418	0.181189	4.49358	3.57552
XLOC_000419	0.170528	1.86679	1.84982
XLOC_000420	10.12	16.7395	17.5819
XLOC_000421	0.385002	2.26727	1.19495
XLOC_000422	0	0.0116537	0.0243758
XLOC_000423	0	0	0.296823
XLOC_000424	22.724	15.1805	4.71436
XLOC_000425	0.04275	0.0902648	0.0343487
XLOC_000426	3.28942	0.160787	0
XLOC_000427	1.16895	0.735495	0.0469013
XLOC_000428	16.7725	4.40823	0.255226
XLOC_000429	29.3498	21.0951	17.7655
XLOC_000430	0	0	0
XLOC_000431	203.892	59.384	11.7881
XLOC_000432	22.9238	22.2021	3.08024
XLOC_000433	3.83774	5.75293	5.90227
XLOC_000434	4.03096	22.5948	47.6354
XLOC_000435	16.7201	3.10775	0.0180238
XLOC_000436	0	0	0
XLOC_000437	3.65732	8.97717	6.30338
XLOC_000438	7.61407	5.88303	2.52567
XLOC_000439	0	0	0
XLOC_000440	0	0.11015	0.0335015
XLOC_000441	0	0.00299133	0.0216565
XLOC_000442	0.003342	0.0237863	0.00215925
XLOC_000443	0	0.000214167	0
XLOC_000444	0	0	0
XLOC_000445	0	0.019269	0.673682
XLOC_000446	69.2799	27.235	8.35972
XLOC_000447	9.25048	6.94584	8.46346
XLOC_000448	7.71135	20.0347	20.1638
XLOC_000449	1.7751	4.90317	3.9909
XLOC_000450	0	0	0
XLOC_000451	0.585322	12.1494	5.94996
XLOC_000452	0.021349	0.022248	0
XLOC_000453	5.83762	5.05633	3.37643
XLOC_000454	186.129	85.6435	46.2803
XLOC_000455	0.421387	1.10835	0.870815
XLOC_000456	0.014397	0.0491683	0.016714
XLOC_000457	2.27648	4.49142	13.2481
XLOC_000458	0	0.0460278	0
XLOC_000459	14.4832	12.259	9.59536
XLOC_000460	2.32748	6.98057	13.0533
XLOC_000461	0	0	0
XLOC_000462	0.392589	0	0.202499
XLOC_000463	0	0	0
XLOC_000464	9.1955	6.31561	4.31851
XLOC_000465	0.720555	1.01374	0.631085
XLOC_000466	0	0.0111148	0
XLOC_000467	0	0	0
XLOC_000468	0	0.0929097	1.8861
XLOC_000469	0	0.00675533	0
XLOC_000470	2.84881	3.26858	4.36323
XLOC_000471	0	0.113303	0.10477
XLOC_000472	0.005098	0	0
XLOC_000473	1.58039	1.90269	0.96404
XLOC_000474	0	0	0
XLOC_000475	0.056323	0.0215807	0.0046235
XLOC_000476	27.1922	12.3413	14.59
XLOC_000477	0	0	0
XLOC_000478	0	0	0
XLOC_000479	0	0	0
XLOC_000480	0	0	0
XLOC_000481	0.007097	0.0121622	0
XLOC_000482	0	0.005145	0
XLOC_000483	0	2.98356	7.48576
XLOC_000484	0.016569	0.275615	2.97359
XLOC_000485	15.3424	14.7408	11.5265
XLOC_000486	0.531612	1.24098	1.23138
XLOC_000487	9.48947	13.6399	7.7065
XLOC_000488	6.24429	9.72209	7.38069
XLOC_000489	0.319781	6.65724	2.30844
XLOC_000490	1.31423	7.77845	2.07219
XLOC_000491	0	0	0
XLOC_000492	0.006173	0.116719	0.0157205
XLOC_000493	0	0	0
XLOC_000494	0	0	0
XLOC_000495	0	0	0
XLOC_000496	1.4363	0.0247833	0.0030955
XLOC_000497	0	0	0
XLOC_000498	0	0	0
XLOC_000499	0	0	0
XLOC_000500	0	0	0
XLOC_000501	0	0.0513132	0.336911
XLOC_000502	0	0	0
XLOC_000503	20.5945	19.6287	10.5805
XLOC_000504	0.611966	16.6029	53.4185
XLOC_000505	0	0	0
XLOC_000506	0	0	0
XLOC_000507	2.95666	10.4467	14.8815
XLOC_000508	3.64	4.37203	2.67314
XLOC_000509	0	0	0
XLOC_000510	0	0.191531	0.389807
XLOC_000511	3.61174	2.40972	1.18064
XLOC_000512	0	0	0
XLOC_000513	0	0	0
XLOC_000514	0	0	0
XLOC_000515	0	0	0
XLOC_000516	0	0	0
XLOC_000517	0	0	0
XLOC_000518	0	0	0
XLOC_000519	0	0	0
XLOC_000520	0	0	0
XLOC_000521	0.483583	0.920408	0.567412
XLOC_000522	4.55341	9.96896	6.38731
XLOC_000523	0	0	0
XLOC_000524	0	0	0
XLOC_000525	0	0	0
XLOC_000526	0.036939	0.0043265	0
XLOC_000527	1.68113	0.744116	0.901298
XLOC_000528	0.892719	0.0990063	0.178003
XLOC_000529	0	0	0
XLOC_000530	16.3299	9.48784	12.5512
XLOC_000531	9.74096	0.476246	0.670525
XLOC_000532	3.36169	0	0
XLOC_000533	243.833	91.0435	13.7309
XLOC_000534	0.650738	1.85981	0.975394
XLOC_000535	1.32716	2.87612	1.24952
XLOC_000536	4.14233	6.03779	1.08947
XLOC_000537	0.107501	31.9082	51.119
XLOC_000538	18.5475	18.4076	12.665
XLOC_000539	31.7754	19.45	17.0892
XLOC_000540	0	0.0885882	0.0103418
XLOC_000541	0.271811	1.27197	1.00177
XLOC_000542	0.214209	1.15786	0.746634
XLOC_000543	0.866624	1.73546	1.70228
XLOC_000544	1.5742	4.70325	4.70996
XLOC_000545	32.992	23.3066	28.0754
XLOC_000546	0	0.0443433	0.0127645
XLOC_000547	0.008603	0	0.0116463
XLOC_000548	0	0	0
XLOC_000549	0	0	0
XLOC_000550	0	0.00212267	0
XLOC_000551	0	0	0
XLOC_000552	0	0.003138	0.0305107
XLOC_000553	0	0	0
XLOC_000554	1.31742	0	0
XLOC_000555	2.58013	0.221091	0
XLOC_000556	0.001639	0.012329	0
XLOC_000557	0.612218	0.330141	0.0219253
XLOC_000558	0.502173	0.596248	0.0977125
XLOC_000559	0.375418	0.488474	0.0649368
XLOC_000560	5.2965	5.26137	4.54606
XLOC_000561	3.98198	3.4948	6.80983
XLOC_000562	0	0	0
XLOC_000563	0	0	0
XLOC_000564	0	0.0882587	0.142784
XLOC_000565	0.074709	0.19597	0.387102
XLOC_000566	7.31803	10.6661	10.885
XLOC_000567	0	0	0
XLOC_000568	0	0	0
XLOC_000569	0.232276	0.450834	0.468129
XLOC_000570	0	6.03461	3.10026
XLOC_000571	3.90577	8.88789	9.76696
XLOC_000572	41.298	30.684	36.5234
XLOC_000573	1.31559	2.139	2.17363
XLOC_000574	12.0151	39.1103	32.8762
XLOC_000575	0.03411	3.05218	8.16552
XLOC_000576	0.100495	0.55408	0.543553
XLOC_000577	0.045238	0.0380845	0.0212058
XLOC_000578	0	0.081269	0.130757
XLOC_000579	0	0.00154367	0
XLOC_000580	8.75747	16.7521	32.5101
XLOC_000581	0.088266	0.699193	0.206917
XLOC_000582	0	0	0
XLOC_000583	27.063	25.9687	15.2257
XLOC_000584	13.4977	12.7484	9.43676
XLOC_000585	0	0	0
XLOC_000586	0	0	0
XLOC_000587	21.409	29.0917	33.5546
XLOC_000588	0	20.2308	33.2523
